company_brand,sector,stage,amount,headquarter,about_company,year,founded,founders,investor,Category
MySEODoc,Other,Seed,0.0,Delhi,"SEO, PPC, Search Engine Marketing, Social Media Optimization, Content Marketing, Brand Reputation Management",2018,2017,Unknown,Undisclosed,Other
ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,Other,Seed,2920.0,Pune,Digital Marketing Agency,2018,2017,Unknown,Undisclosed,Other
Scale Labs,Other,Seed,1000000.0,Delhi,Scale Labs is a cross border e-commerce solutions provider that drives global trade for brands.,2018,2017,Unknown,Undisclosed,Other
HungerBox,b2b food and beverage food delivery,Series A,4500000.0,Bangalore,HungerBox is a full stack B2B F&B technology company delivering food solutions for the corporates in India.,2018,2017,Unknown,Undisclosed,food and beverages
Biryani By Kilo,catering food and beverage food delivery food processing,Seed,1000000.0,Noida,BBK delivers both authentic taste of Hyderabadi and Lucknowi Biryani prepared in individual earthen Handis with the freshest ingredients.,2018,2017,Unknown,Undisclosed,food and beverages
Wholesome Habits (EAT Anytime),food and beverage snack food,Seed,500000.0,Mumbai,Wholesome Habits (EAT Anytime) is a healthy snacks Company.,2018,2017,Unknown,Undisclosed,food and beverages
GoBumpr,automotive ecommerce mobile,Seed,600000.0,Mylapore,Car Service and Bike Service Mobile App,2018,2017,Unknown,Undisclosed,technology
Fixpocket,computer digital marketing facilities support services graphic design internet mobile apps social media marketing web development,Seed,250000.0,Ahmedabad,Fixpocket is a internet-based startup.,2018,2017,Unknown,Undisclosed,technology
edureka!,android big data blockchain cloud computing edtech education information technology ios training web development,Series A,2000000.0,Bangalore,"Edureka is the fastest growing online learning platform that offers live, instructor-led courses for professionals from various industries.",2018,2017,Unknown,Undisclosed,technology
Hashtag Loyalty Private Limited,analytics crm loyalty programs machine learning marketing automation retail technology saas small and medium businesses,Seed,0.0,Mumbai,Hashtag Loyalty is a customer engagement and marketing automation tool for local businesses.,2018,2017,Unknown,Undisclosed,technology
Wow Express,delivery information technology mobile apps,Series A,4500000.0,Mumbai,"WOW, as customers react to his studiously taught, trained, polite and courteous nature.",2018,2017,Unknown,Undisclosed,technology
ZunRoof,environmental consulting renewable energy,Pre-Seed,242360.0,Gurgaon,ZunRoof is a rooftop focused solar startup.,2018,2017,Unknown,Undisclosed,renewable energy
